PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS05702051,27/05/2016,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,04/11/2019,0,0,
LS11515321,17/07/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/11/2019,83,0,
LS11515321,17/07/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/11/2019,83,0,
LS07409422,25/07/2017,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/11/2019,83,0,
LS06620440,06/09/2017,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/10/2019,0,83,
LS06620440,06/09/2017,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/11/2019,0,83,
LS12522140,16/11/2017,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,04/11/2019,0,0,
LS12130592,12/02/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/12/2019,83,0,
LS14820106,03/03/2018,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/10/2019,83,0,
LS11745183,09/04/2018,INTERNATIONAL POOL CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,07/10/2019,83,0,
LS11745183,09/04/2018,INTERNATIONAL POOL CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,14/11/2019,83,0,
LS11745183,09/04/2018,INTERNATIONAL POOL CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,05/12/2019,83,0,
LS05028654,22/06/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/10/2019,83,0,
LS06639926,17/08/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/11/2019,83,0,
LS07542411,01/09/2018,COURTHOUSE STREET CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,09/10/2019,0,0,
LS07542411,01/09/2018,COURTHOUSE STREET CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/10/2019,0,0,
LS07117314,04/09/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/10/2019,83,0,
LS07039221,15/09/2018,JOHN CHARLES SC CP - MIDDLETON,91 PARKED IN AREA NOT FOR THAT CLASS OF VEHICLE,70,04/10/2019,113,0,
LS05142580,05/10/2018,BEECH HILL CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,13/11/2019,50,0,
LS1452913A,18/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,09/12/2019,0.94,0,
LS1452913A,18/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/11/2019,0.94,0,
LS11754526,20/10/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/11/2019,83,0,
LS08317250,21/10/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS08644621,24/10/2018,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS15316429,31/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/10/2019,0,83,
LS15316429,31/10/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/11/2019,0,83,
LS07545318,05/11/2018,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/11/2019,25,0,
LS1493229A,11/11/2018,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/10/2019,83,0,
LS01749927,12/11/2018,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/11/2019,0,0,
LS0496283A,16/11/2018,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,11/10/2019,83,0,
LS04962873,17/11/2018,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,08/10/2019,105,0,
LS04962873,17/11/2018,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,10/10/2019,105,0,
LS09928996,20/11/2018,ROBIN LANE CP - PUDSEY                                      ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,11/10/2019,83,0,
LS14225554,02/12/2018,MORLEY LEISURE CENTRE CP - MORLEY,87 IN DISABLED BAY WITHOUT BADGE,70,08/10/2019,113,0,
LS08533096,09/12/2018,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,11/10/2019,83,0,
LS14832014,29/12/2018,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS15321531,03/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/10/2019,83,0,
LS03549452,14/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/11/2019,25,0,
LS03549452,14/01/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,19/11/2019,25,0,
LS14631770,15/01/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/10/2019,83,0,
LS14632263,25/01/2019,WILDERNESS CP - WETHERBY                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,14/11/2019,0,0,
LS11536831,25/01/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,08/10/2019,83,0,
LS14632263,25/01/2019,WILDERNESS CP - WETHERBY                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,17/10/2019,0,0,
LS12144214,26/01/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS09137582,28/01/2019,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,14/10/2019,0,0,
LS12449969,01/02/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/10/2019,83,0,
LS14133059,03/02/2019,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/10/2019,83,0,
LS15704596,04/02/2019,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,17/10/2019,83,0,
LS12450254,06/02/2019,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,02/10/2019,35,0,
LS12450254,06/02/2019,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,08/10/2019,35,0,
LS12450254,06/02/2019,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,10/10/2019,35,0,
LS07127351,11/02/2019,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,22/11/2019,83,0,
LS15705227,11/02/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,12/12/2019,83,0,
LS07127216,11/02/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/11/2019,83,0,
LS05150126,18/02/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/11/2019,83,0,
LS05150170,18/02/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/12/2019,83,0,
LS11763775,18/02/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,11/10/2019,83,0,
LS05150669,01/03/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/12/2019,83,0,
LS12145330,01/03/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/12/2019,83,0,
LS14634291,02/03/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/12/2019,83,0,
LS06376452,04/03/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS14363321,04/03/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS14363354,04/03/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS01755908,05/03/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS05151027,06/03/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS06424974,07/03/2019,BEECH HILL CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS06249488,08/03/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS06535090,08/03/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/12/2019,83,0,
LS01756139,09/03/2019,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,08/10/2019,0,0,
LS0665123A,09/03/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/11/2019,83,0,
LS15707674,10/03/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/12/2019,83,0,
LS15707776,10/03/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,26/12/2019,0,83,
LS15707776,10/03/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,25/11/2019,0,83,
LS15707936,11/03/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,25,0,
LS08647120,11/03/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS15707936,11/03/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/12/2019,25,0,
LS11765205,12/03/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,26/11/2019,0,0,
LS06651615,14/03/2019,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/12/2019,0,0,
LS11639379,14/03/2019,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,07/10/2019,83,0,
LS08540105,16/03/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/10/2019,83,0,
LS15708429,17/03/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS06852016,19/03/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/12/2019,83,0,
LS0813289A,21/03/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/11/2019,83,0,
LS09141171,21/03/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/10/2019,83,0,
LS15601243,22/03/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/11/2019,83,0,
LS06378527,26/03/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/11/2019,83,0,
LS07554851,27/03/2019,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/11/2019,83,0,
LS07554895,27/03/2019,NORTH PARADE CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/10/2019,50,0,
LS07554895,27/03/2019,NORTH PARADE CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,05/11/2019,50,0,
LS08541367,30/03/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/11/2019,83,0,
LS11640039,01/04/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/10/2019,83,0,
LS11640039,01/04/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,12/12/2019,83,0,
