PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,
LS05799166,02/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS05799177,02/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS05799188,02/01/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS12259806,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259817,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259828,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259839,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS1225984A,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259850,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259861,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259872,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259908,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259919,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS1225992A,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259930,02/01/2020,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS12259974,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS12259985,02/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS17600332,02/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20500926,02/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20500937,02/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20500948,02/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20500959,02/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS2050096A,02/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20500970,02/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20500981,02/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS20501011,02/01/2020,PLAYHOUSE SQUARE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,
LS20501022,02/01/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06450806,03/01/2020,GLEDHOW ROAD CP - SHEEPSCAR,73 PARKED WITHOUT PAYMENT,50,
LS06560768,03/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06671871,03/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06671882,03/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06671893,03/01/2020,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07839909,03/01/2020,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS0783991A,03/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07839920,03/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600489,03/01/2020,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS1760049A,03/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600503,03/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600514,03/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600547,03/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600558,03/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600569,03/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS1760057A,03/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS17600649,03/01/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS05799290,04/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS05799359,04/01/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS0579936A,04/01/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS05799370,04/01/2020,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS0645092A,04/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06450930,04/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06450941,04/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06450963,04/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06450974,04/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06450985,04/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06450996,04/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS0656086A,04/01/2020,KIRKSTALL RD CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS06560870,04/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06879806,04/01/2020,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS07251598,04/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07840089,04/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07840216,04/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS14474231,04/01/2020,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,
LS14474242,04/01/2020,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,
LS14741699,04/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS14741702,04/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS14741757,04/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS14741768,04/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS14741779,04/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS05799392,05/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06560892,05/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06560906,05/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06560917,05/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06560928,05/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS06560939,05/01/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS0656094A,05/01/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS0667215A,05/01/2020,QUEENSWAY CP - MORLEY                                       ,86 BEYOND THE BAY MARKINGS                        ,50,
LS06672160,05/01/2020,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,
LS07158209,05/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07840282,05/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS08569388,05/01/2020,WEST STREET CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS08569399,05/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS08569402,05/01/2020,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS08569413,05/01/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS08569424,05/01/2020,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS14474344,05/01/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS00313245,06/01/2020,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS05799483,06/01/2020,MAIN STREET CP - GARFORTH                                   ,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,
LS05799519,06/01/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,
LS0579952A,06/01/2020,MAIN STREET CP - GARFORTH                                   ,86 BEYOND THE BAY MARKINGS                        ,50,
LS06561090,06/01/2020,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07158435,06/01/2020,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07158446,06/01/2020,INTERNATIONAL POOL CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580873,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580884,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580895,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580909,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS0758091A,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580920,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580931,06/01/2020,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,
LS07580942,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580953,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580964,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07580975,06/01/2020,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS07840395,06/01/2020,MEADOW LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS08569628,06/01/2020,QUARRY HILL B CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS08569639,06/01/2020,QUARRY HILL B CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS0856964A,06/01/2020,QUARRY HILL B CP - CITY,73 PARKED WITHOUT PAYMENT,50,
LS08569650,06/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS08569661,06/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS08569672,06/01/2020,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS09953701,06/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
LS09953712,06/01/2020,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,
